Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales Price,Quantity,Discount,Profit,Order Date Year,Days to Ship,Customer Name Masked,Original Price,Total Sales,Total Profit,Discount Price,Total Discount,Shipping Urgency,Sales Quintile,Profit Quintile
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,2015,4,T.B.,4.079999999999999,6.528,2.2032,0.8159999999999994,1.6319999999999988,Standard,4,4
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,2015,4,T.B.,107.88,517.8240000000001,58.255199999999995,21.575999999999993,129.45599999999996,Standard,4,4
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,2015,4,T.B.,22.859999999999996,41.147999999999996,-34.29,16.001999999999995,96.01199999999997,Standard,4,4
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,2015,4,T.B.,19.7,31.52,7.092,3.9399999999999995,7.879999999999999,Standard,4,4
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,2017,4,M.A.,36.839999999999996,88.416,29.8404,7.367999999999995,22.103999999999985,Standard,5,5
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,2015,4,S.N.,141.66,1019.952,318.735,28.331999999999994,254.98799999999994,Standard,5,4
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,2015,4,S.N.,782.94,1597.1976,-140.92919999999998,250.5408000000001,751.6224000000003,Standard,5,4
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,2015,4,S.N.,302.94,636.174,-45.441,90.882,272.646,Standard,5,4
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,2015,4,S.N.,463.96,1484.672,167.0256,92.79199999999997,371.1679999999999,Standard,5,4
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,2017,5,L.C.,183.96,588.672,66.2256,36.792,147.168,Standard,5,2
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,2016,5,R.A.,77.88,155.76,7.788,0.0,0.0,Standard,2,4
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,2017,4,E.S.,119.52,191.232,19.1232,23.903999999999996,47.80799999999999,Standard,5,4
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,2016,2,O.N.,45.98,91.96,39.5428,0.0,0.0,Urgent,3,4
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,2016,2,O.N.,17.46,34.92,16.4124,0.0,0.0,Urgent,3,4
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,2014,5,P.O.,211.96,847.84,33.9136,0.0,0.0,Standard,5,5
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,45.0,3,0.0,4.95,2016,5,L.H.,45.0,135.0,14.850000000000001,0.0,0.0,Standard,4,5
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,2016,5,L.H.,21.8,43.6,12.208,0.0,0.0,Standard,4,5
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,2015,4,D.P.,38.22,229.32,107.7804,0.0,0.0,Standard,2,1
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,2015,4,D.P.,75.18,451.08000000000004,212.00760000000002,0.0,0.0,Standard,2,1
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,2015,4,D.P.,6.16,12.32,5.9136,0.0,0.0,Standard,2,1
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,2015,4,D.P.,89.99,89.99,17.0981,0.0,0.0,Standard,2,1
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,2016,6,J.M.,15.26,106.82,43.7962,0.0,0.0,Standard,2,3
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,2016,1,T.B.,208.56,1251.3600000000001,312.84000000000003,0.0,0.0,Urgent,4,5
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,2016,1,T.B.,32.4,162.0,77.75999999999999,0.0,0.0,Urgent,4,5
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,2016,1,T.B.,354.90000000000003,1597.0500000000002,35.49,35.49000000000001,177.45000000000005,Urgent,4,5
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,2016,1,T.B.,14.56,29.12,13.9776,0.0,0.0,Urgent,4,5
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,30.0,2,0.0,3.3,2016,1,T.B.,30.0,60.0,6.6,0.0,0.0,Urgent,4,5
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,2016,1,T.B.,60.599999999999994,193.92,65.448,12.119999999999997,48.47999999999999,Urgent,4,5
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,2016,1,T.B.,1.68,1.68,0.84,0.0,0.0,Urgent,4,5
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,2015,6,K.M.,13.98,27.96,12.3024,0.0,0.0,Standard,5,5
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,2015,6,K.M.,32.28,154.94400000000002,56.1672,6.4559999999999995,38.736,Standard,5,5
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,2015,6,K.M.,146.73,440.18999999999994,206.8893,0.0,0.0,Standard,5,5
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,2015,6,K.M.,79.76,319.04,89.3312,0.0,0.0,Standard,5,5
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,2015,5,P.S.,304.45000000000005,1065.575,-76.1125,91.33500000000004,456.6750000000002,Standard,4,3
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,2014,5,B.S.,1391.2799999999997,8904.192,890.4192,278.25599999999986,2226.047999999999,Standard,5,4
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,2014,5,B.S.,209.95999999999998,671.872,251.952,41.99199999999999,167.96799999999996,Standard,5,4
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,2016,2,K.D.,75.88,151.76,71.3272,0.0,0.0,Urgent,3,5
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,2016,5,H.M.,5.77,4.616,1.731,1.154,1.154,Standard,3,3
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,2017,3,T.B.,19.05,57.150000000000006,26.289,0.0,0.0,Urgent,4,4
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,2015,6,J.E.,121.3,194.08,2.426,24.25999999999999,48.51999999999998,Standard,5,4
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,2015,6,J.E.,90.98,72.784,-18.196,18.195999999999998,18.195999999999998,Standard,5,4
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,2017,2,K.B.,6.240000000000001,3.7439999999999998,-5.8031999999999995,4.992000000000001,14.976000000000003,Urgent,1,2
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,2017,2,K.B.,24.27,29.124000000000002,-17.4744,14.562,43.686,Urgent,1,2
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,2017,2,K.B.,34.05,81.72,8.172,6.809999999999999,20.429999999999996,Urgent,1,2
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,2014,5,J.E.,48.25,96.5,-72.375,28.95,144.75,Standard,5,4
80,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,2016,3,S.C.,208.16,208.16,56.2032,0.0,0.0,Urgent,5,4
81,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,2016,3,S.C.,16.74,50.22,24.1056,0.0,0.0,Urgent,5,4
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,2014,4,D.N.,14.9,74.5,20.86,0.0,0.0,Standard,2,3
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031,2014,4,D.N.,21.39,21.39,6.2031,0.0,0.0,Standard,2,3
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,2015,5,J.C.,251.23,1406.8880000000001,439.6525,50.24599999999998,351.72199999999987,Standard,3,4
85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,2017,3,C.S.,287.96999999999997,691.128,-146.8647,57.593999999999966,172.7819999999999,Urgent,5,5
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,2017,2,P.O.,301.96,603.92,66.4312,0.0,0.0,Urgent,5,5
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,2017,7,P.G.,19.99,19.99,6.7966,0.0,0.0,Standard,3,5
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,2017,7,P.G.,6.16,12.32,5.9136,0.0,0.0,Standard,3,5
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,2016,5,G.M.,197.95999999999998,1108.576,97.0004,39.591999999999985,277.1439999999999,Standard,3,4
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,2016,5,J.S.,20.1,60.300000000000004,19.899,0.0,0.0,Standard,2,1
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,2016,5,J.S.,91.98,147.168,16.5564,18.396,36.792,Standard,2,1
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104,2016,5,J.S.,6.48,6.48,3.1104,0.0,0.0,Standard,2,1
93,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208,2015,5,K.B.,12.96,25.92,12.4416,0.0,0.0,Standard,3,1
